CityID;CityName;StateProvinceID;LatestRecordedPopulation;LastEditedBy;ValidFrom;ValidTo
1;Aaronsburg;39;613;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
3;Abanda;1;192;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
4;Abbeville;42;5237;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
5;Abbeville;11;2908;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
6;Abbeville;1;2688;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
7;Abbeville;19;12257;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
8;Abbeville;25;419;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
9;Abbotsford;52;2310;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
10;Abbott;45;356;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
11;Abbott;4;356;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
12;Abbott;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
13;Abbott;49;356;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
14;Abbott;51;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
15;Abbottsburg;34;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
16;Abbottstown;39;1011;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
17;Abbyville;17;87;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
18;Abell;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
19;Abercrombie;35;263;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
20;Aberdeen;43;26091;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
21;Aberdeen;21;14959;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
22;Aberdeen;50;16896;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
23;Aberdeen;13;1994;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
24;Aberdeen;34;6350;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
25;Aberdeen;25;5612;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
26;Aberdeen;36;1638;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
27;Aberdeen;18;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
28;Aberfoil;1;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
29;Abernant;1;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
30;Abernathy;45;2805;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
31;Abeytas;32;56;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
32;Abie;28;69;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
33;Abilene;45;117063;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
34;Abilene;17;6844;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
35;Abingdon;14;3319;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
36;Abingdon;49;8191;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
37;Abingdon;16;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
38;Abingdon;21;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
39;Abington;39;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
40;Abington;22;15985;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
41;Abiquiu;32;231;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
42;Abita Springs;19;2365;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
43;Abo;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
44;Aboite;15;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
45;Abraham;46;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
46;Abram;45;2067;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
47;Abrams;52;340;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
48;Absarokee;27;1150;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
49;Absecon;31;8411;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
50;Academy;43;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
51;Acampo;5;341;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
52;Accident;21;325;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
53;Accokeek;21;10573;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
54;Accomac;49;519;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
55;Accord;33;562;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
56;Accord;22;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
57;Ace;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
58;Aceitunas;40;1436;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
59;Acequia;13;124;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
60;Achille;37;492;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
61;Achilles;49;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
62;Ackerly;45;220;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
63;Ackerman;25;1510;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
64;Ackley;16;1589;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
65;Ackworth;16;83;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
66;Acme;50;246;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
67;Acme;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
68;Acme;53;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
69;Acme;19;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
70;Acme;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
71;Acoma;29;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
72;Acomita;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
73;Acorn;49;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
74;Acra;33;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
75;Acree;11;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
76;Acton;20;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
77;Acton;27;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
78;Acton;22;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
79;Acton;5;7596;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
80;Acushnet;22;3073;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
